GAME_ID,Season ID,Home Team Name,Away Team Name,Home Points,Away Points,Home Win,Match,Date
0021800198,22018,Los Angeles Clippers,Golden State Warriors,121,116,L,GSW @ LAC,2018-11-12
0021800199,22018,Cleveland Cavaliers,Charlotte Hornets,113,89,W,CLE vs. CHA,2018-11-13
0021800200,22018,Denver Nuggets,Houston Rockets,99,109,W,HOU @ DEN,2018-11-13
0021800201,22018,Golden State Warriors,Atlanta Hawks,110,103,L,ATL @ GSW,2018-11-13
0021800202,22018,Orlando Magic,Philadelphia 76ers,111,106,W,ORL vs. PHI,2018-11-14
0021800203,22018,Washington Wizards,Cleveland Cavaliers,119,95,L,CLE @ WAS,2018-11-14
0021800204,22018,Boston Celtics,Chicago Bulls,111,82,L,CHI @ BOS,2018-11-14
0021800205,22018,Brooklyn Nets,Miami Heat,107,120,L,BKN vs. MIA,2018-11-14
0021800206,22018,Toronto Raptors,Detroit Pistons,104,106,W,DET @ TOR,2018-11-14
0021800207,22018,Milwaukee Bucks,Memphis Grizzlies,113,116,L,MIL vs. MEM,2018-11-14
0021800208,22018,Minnesota Timberwolves,New Orleans Pelicans,107,100,L,NOP @ MIN,2018-11-14
0021800209,22018,Oklahoma City Thunder,New York Knicks,128,103,W,OKC vs. NYK,2018-11-14
0021800210,22018,Dallas Mavericks,Utah Jazz,118,68,W,DAL vs. UTA,2018-11-14
0021800211,22018,Phoenix Suns,San Antonio Spurs,116,96,W,PHX vs. SAS,2018-11-14
0021800212,22018,Los Angeles Lakers,Portland Trail Blazers,126,117,W,LAL vs. POR,2018-11-14
0021800213,22018,Houston Rockets,Golden State Warriors,107,86,W,HOU vs. GSW,2018-11-15
0021800214,22018,Denver Nuggets,Atlanta Hawks,138,93,L,ATL @ DEN,2018-11-15
0021800215,22018,Los Angeles Clippers,San Antonio Spurs,116,111,L,SAS @ LAC,2018-11-15
0021800216,22018,Boston Celtics,Toronto Raptors,123,116,W,BOS vs. TOR,2018-11-16
